Commitments of Traders Historical Report for "CAD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Apr 30, 2024","211555","33793","96994","144359","73869","28321","35610","102081","5156","41363","98003","11179","60695"
"Apr 23, 2024","226747","35873","112323","157017","72555","29237","37249","114572","2340","41366","113349","15900","61193"
"Apr 16, 2024","237526","37067","119882","166834","75262","27645","36402","117923","2437","43705","120629","20106","65246"
"Apr 09, 2024","192964","34741","88126","127944","69604","27190","32145","84647","3429","44825","94496","16313","51366"
"Apr 02, 2024","197171","44220","95443","120307","67826","27748","29006","78534","2124","41659","103300","27270","49520"
"Mar 26, 2024","190995","37915","88205","121200","66723","27468","31655","74947","1988","41196","96921","23988","48102"
"Mar 19, 2024","230592","45761","82909","153407","111970","27007","31296","69554","10170","40725","86508","33159","54557"
"Mar 12, 2024","193223","35964","66838","113942","83646","30149","29571","62678","11625","47570","87144","17442","38706"
"Mar 05, 2024","183697","42590","62427","106182","82615","28322","32052","58881","10973","47943","90512","22842","35294"
"Feb 27, 2024","166484","41158","42536","90546","91119","29731","27780","50594","22721","48504","71137","16581","31196"
"Feb 20, 2024","157666","37108","37971","88205","86860","29192","29674","50603","21707","47579","63585","12661","32549"
"Feb 13, 2024","161519","35698","41180","92188","85230","30243","31719","52150","19486","47007","58129","14142","41747"
"Feb 06, 2024","160118","32782","40518","94058","89646","30766","27442","50599","28734","52703","56589","9734","38186"
"Jan 30, 2024","159376","39101","41489","86763","90963","32032","25444","49088","34566","46245","54803","16609","37488"
"Jan 23, 2024","155138","34310","42761","87877","84716","30901","25611","50628","27618","43754","56740","13262","36565"
"Jan 16, 2024","165998","38738","52126","91783","86855","32870","24410","49419","33836","52352","52504","14571","46638"
"Jan 09, 2024","171557","42286","49666","93842","95629","33353","24186","49795","40272","54942","44706","18748","54334"
"Jan 02, 2024","184476","50895","72026","97957","89637","33750","20939","51457","31684","61497","48002","22443","76141"
"Dec 26, 2023","176452","41685","76406","98388","74440","34356","23583","54552","18238","50898","50621","21041","75200"
"Dec 19, 2023","214241","28862","83195","148747","98170","31440","27684","95832","28456","38265","64447","16992","69197"
"Dec 12, 2023","213873","19457","74702","153678","92485","28390","34338","106039","20382","34933","84138","10051","47693"
"Dec 05, 2023","197791","19753","77601","141259","77969","29036","34478","103787","20476","33924","82690","8979","46567"
"Nov 28, 2023","200864","18991","82233","143464","75927","30505","34800","103436","19810","32122","84783","12792","48113"
"Nov 21, 2023","203248","19407","84847","145080","74997","31461","36104","104910","19393","30695","83589","14296","50917"
"Nov 14, 2023","206046","18678","89081","152043","74345","29204","36499","111865","18214","29030","84454","14845","54667"
"Nov 07, 2023","200364","17171","84892","145272","72704","31585","36432","104474","19560","28077","80365","15261","50968"
"Oct 31, 2023","198528","25418","74750","133433","77381","33889","40609","93353","23251","29054","69389","21550","53097"
"Oct 24, 2023","184747","22326","70965","127101","73501","31815","36776","88851","25953","30958","60322","17289","51787"
"Oct 17, 2023","183938","21640","70179","125109","75003","33235","34802","88529","26291","31008","59868","16133","53192"
"Oct 10, 2023","179357","20342","66831","124157","75737","31685","33616","88390","24533","31577","59893","14248","52313"
"Oct 03, 2023","189443","21674","61825","127502","88921","36889","35319","88271","38126","29974","58028","19683","48807"
"Sep 26, 2023","175848","17006","49702","120758","90939","33799","30922","85576","37651","28898","51197","13248","45812"
"Sep 19, 2023","246847","19027","67054","184750","135946","35733","36510","79404","10055","26514","79121","22202","41712"
"Sep 12, 2023","217080","40298","82181","131976","82701","31767","39159","83253","7734","26309","100728","45839","41961"
"Sep 05, 2023","189660","45761","70724","103959","74498","32462","36960","59896","12002","28628","83916","50780","40487"
"Aug 29, 2023","177048","42527","58288","94881","76942","32950","35128","51714","14499","29311","79980","46911","33493"
"Aug 22, 2023","166147","35993","48063","92691","76558","31746","35809","50834","17180","30420","68606","38188","32287"
"Aug 15, 2023","157827","37112","48523","85774","72005","30496","32854","45383","19278","30511","57546","38302","37204"
"Aug 08, 2023","140960","29481","30104","73301","77918","33774","28534","30397","25727","33314","45124","28378","30729"
"Aug 01, 2023","152606","36278","29913","72951","96220","40916","24012","29095","45829","45992","48046","25055","26059"
"Jul 25, 2023","156395","42759","37229","73539","95635","39413","22847","28275","47771","52558","46422","26485","33870"
"Jul 18, 2023","146171","33877","33356","73833","86824","35907","23437","28434","39672","48744","44403","21846","30917"
"Jul 11, 2023","140395","35072","30628","68935","82961","32865","23283","29753","31629","43938","47554","22502","29906"
"Jul 03, 2023","156284","44178","39651","73437","92252","35761","21473","28538","42810","52056","43613","28670","40996"
"Jun 27, 2023","167798","50307","53154","73407","90141","41788","22207","28620","38476","59314","42878","27646","57520"
"Jun 20, 2023","184106","28187","61730","114925","96167","38400","23615","47905","10708","40695","48590","20776","68328"
"Jun 13, 2023","167232","15536","52204","98335","68959","36557","29265","56215","6274","28974","57582","13450","45203"
"Jun 06, 2023","168025","21709","60038","106003","67547","31338","31465","68961","2930","27258","82881","19797","33431"
"May 30, 2023","179871","37619","67533","107243","68206","27430","36553","65945","2930","30598","82205","31800","41723"
"May 23, 2023","159199","20388","68914","103597","54457","31126","31740","64334","2930","27805","74671","16502","36441"
"May 16, 2023","161195","28514","71504","98089","53556","30767","32310","58883","2930","27249","76595","25181","37122"
"May 09, 2023","159364","29609","71872","94662","52705","31226","30920","54023","4223","27340","72022","26820","39865"
"May 02, 2023","171054","27899","77995","110317","53730","29072","35563","66630","2930","25473","82922","26985","36841"
"Apr 25, 2023","151786","24295","68086","93784","47906","29997","32084","47270","2930","26232","66559","25190","37563"
"Apr 18, 2023","148638","17806","64039","96421","54227","32592","28553","50838","4204","28527","67479","16689","37258"
"Apr 11, 2023","164875","16914","73493","116537","58332","29091","30717","75942","4242","22127","75730","16553","42255"
