Commitments of Traders Historical Report for "GBP"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Apr 30, 2024","235610","43668","72658","162366","118806","21215","35785","137522","7462","9514","118733","52548","55392"
"Apr 23, 2024","242821","48459","74692","162986","122133","22465","37085","131738","7065","6963","120297","66355","59453"
"Apr 16, 2024","229420","71800","63181","129957","126985","21721","33312","97767","7382","21868","115774","75606","56629"
"Apr 09, 2024","211286","80000","51748","96196","123251","27814","29011","61404","7359","37803","113981","69493","42822"
"Apr 02, 2024","219176","98352","54938","90146","129546","25106","29120","53421","8286","34103","119011","94085","46598"
"Mar 26, 2024","203109","91261","56091","78159","115244","29226","27311","40171","6667","45608","110202","76518","44242"
"Mar 19, 2024","197398","102605","49405","57898","115515","30742","26325","13281","8761","68811","106661","68305","36291"
"Mar 12, 2024","277702","123285","52834","104338","183258","30123","21654","26672","35296","87055","106150","68943","46175"
"Mar 05, 2024","221726","102279","43894","71655","135778","32596","26858","29254","31346","70501","102438","60276","28889"
"Feb 27, 2024","210828","91970","45612","75762","127352","31048","25816","30491","27416","62403","94182","60272","33697"
"Feb 20, 2024","199275","87602","41290","72901","121907","30014","27320","30901","21372","54020","92397","61267","31441"
"Feb 13, 2024","199070","90545","40073","72289","119172","25127","28716","30810","16437","52761","95878","65293","29875"
"Feb 06, 2024","199246","83936","49461","80560","109432","24530","30133","34916","10675","46152","92519","70327","38615"
"Jan 30, 2024","192229","77499","43346","72532","109912","29604","26377","24177","17650","53358","87082","57108","29603"
"Jan 23, 2024","185680","72599","41162","73087","107426","29498","26596","24647","17500","50795","86165","55160","26296"
"Jan 16, 2024","179758","66230","35299","74438","105418","29608","29559","23647","13517","45879","81843","56280","28398"
"Jan 09, 2024","172631","60684","39950","75972","98847","27973","25832","26690","10072","41400","86710","53828","25180"
"Jan 02, 2024","177770","61794","46589","78751","96001","29125","27080","26790","11402","42146","88956","57837","26583"
"Dec 26, 2023","175138","58750","44658","76501","98403","31825","24015","22668","15442","45356","87258","53880","25137"
"Dec 19, 2023","177998","68810","48884","71626","99066","29730","22216","17675","15470","50930","92500","58262","25020"
"Dec 12, 2023","243677","72011","50430","115620","135721","44638","46118","39181","20856","56934","90641","53463","33414"
"Dec 05, 2023","218873","66359","54694","109112","121095","28621","28303","39243","27096","67338","90847","51948","37143"
"Nov 28, 2023","217372","61296","69191","118253","108189","26067","28236","50777","22954","65116","90441","53346","50194"
"Nov 21, 2023","208657","43300","69398","129406","98198","26637","31747","72028","17456","44522","96913","46570","40235"
"Nov 14, 2023","216411","52797","80527","130004","94565","26403","34112","76522","12725","36137","102828","60379","46640"
"Nov 07, 2023","212730","57532","73784","125781","96615","22020","34934","69854","13305","37253","100443","65345","43084"
"Oct 31, 2023","229991","63712","84083","136888","102734","22325","36108","78329","13551","42246","116354","71263","45030"
"Oct 24, 2023","233259","67119","85755","132744","105407","26540","35241","72678","16056","45474","117031","72274","45518"
"Oct 17, 2023","222945","65537","76746","125328","105357","26148","34910","63493","19467","42402","108970","75265","40841"
"Oct 10, 2023","231510","66290","76338","134573","113166","24664","36023","64527","23383","46376","109594","80387","43834"
"Oct 03, 2023","241045","73911","80591","135637","118092","24678","35543","68310","22847","41168","121730","90486","40916"
"Sep 26, 2023","227843","84750","69081","109264","117951","26381","33363","44962","26964","43947","105714","95373","41292"
"Sep 19, 2023","191117","85095","51412","70362","102943","27510","28612","7166","35289","56653","74327","84793","35063"
"Sep 12, 2023","227437","97365","51191","80441","131609","32133","27139","3796","53933","80068","72484","78429","37539"
"Sep 05, 2023","225404","92645","46261","84129","134084","33867","30296","4692","62147","83069","69954","75835","33187"
"Aug 29, 2023","228616","97143","48742","83880","140489","32845","24637","3749","70807","84704","65027","79582","39052"
"Aug 22, 2023","228179","98061","38954","82487","147211","33007","27390","0","79602","92204","59054","75594","33336"
"Aug 15, 2023","215340","90541","39553","77496","137684","34690","25490","487","70821","80383","59488","75113","32996"
"Aug 08, 2023","206954","83239","36219","75990","133869","34505","23646","6749","67895","74548","58555","66207","30035"
"Aug 01, 2023","220906","92175","42613","75949","142668","39747","22590","2242","73694","87200","62920","69165","35566"
"Jul 25, 2023","237340","105498","46503","75737","152721","41762","23773","0","82768","96487","61818","75093","41917"
"Jul 18, 2023","265766","135269","71540","76229","157835","39762","21885","1484","90361","110147","62400","87837","61746"
"Jul 11, 2023","239125","111667","53604","73150","145851","39825","25187","1541","72791","96605","63465","70931","45841"
"Jul 03, 2023","221021","96461","46196","74446","138110","36707","23308","3318","60394","84109","69757","68992","37432"
"Jun 27, 2023","229970","104382","52388","75034","141835","38132","23325","2614","69119","85089","64427","76413","43612"
"Jun 20, 2023","226505","101567","54959","73692","132695","36837","24442","2482","62747","80585","68164","77032","39918"
"Jun 13, 2023","290350","76383","69648","147717","166317","43653","31788","57188","69671","67309","65372","61463","61295"
"Jun 06, 2023","242117","65063","52579","128441","142565","29200","27560","56458","67360","61904","67456","58577","41788"
"May 30, 2023","240301","70320","57085","124002","139210","29613","27640","57104","68193","60026","60007","62504","51466"
