Commitments of Traders Historical Report for "AUD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Apr 30, 2024","224573","41293","124528","157629","65235","20613","29772","135189","10239","39197","128405","14099","47310"
"Apr 23, 2024","239278","43429","139668","174015","59139","16289","34926","148435","7254","36247","137063","22038","50406"
"Apr 16, 2024","234919","42365","143448","169334","52990","18142","33403","140993","4217","30826","134025","29853","54428"
"Apr 09, 2024","208938","30556","122897","151421","49811","21567","30836","127200","4003","33149","123031","12321","42832"
"Apr 02, 2024","224894","34557","137242","164790","50704","20421","31822","135609","3222","33910","137365","19318","43331"
"Mar 26, 2024","218982","34438","139890","162079","44539","17786","29874","137548","1241","33102","132677","16824","47922"
"Mar 19, 2024","220921","38207","145745","158919","42857","19035","27559","134947","542","30963","131985","24478","55271"
"Mar 12, 2024","229723","41591","132431","151731","54053","20858","27696","114420","2120","31760","132910","30020","40373"
"Mar 05, 2024","234196","53966","138709","151903","56158","19697","30699","118866","3026","31927","147680","43794","39809"
"Feb 27, 2024","204992","49640","128816","129292","39515","19390","29991","102724","1754","32938","132421","33972","31349"
"Feb 20, 2024","205656","49100","130975","131694","39083","19375","30111","97629","2510","32787","133648","41522","30938"
"Feb 13, 2024","199485","47405","126381","128465","37480","18320","30329","95308","1754","34259","130094","37472","29589"
"Feb 06, 2024","180793","39242","111055","115517","35486","20305","28523","84267","1713","32078","122399","30042","20257"
"Jan 30, 2024","165531","36956","95251","97888","39041","21902","22454","69934","1636","30589","109587","24992","20090"
"Jan 23, 2024","161999","42853","96973","87611","34962","23652","22181","60759","1600","32542","104797","28049","22790"
"Jan 16, 2024","163442","45812","93669","83911","44867","26937","18124","53402","11246","37688","103579","29573","21072"
"Jan 09, 2024","156375","47326","79600","77374","56304","28218","17014","49984","24361","40170","90208","25773","18719"
"Jan 02, 2024","157003","44442","87335","82030","51735","27906","15308","49473","20548","41872","83768","27118","32904"
"Dec 26, 2023","152735","39011","90314","83467","40405","27271","19030","57493","6487","36599","89676","21250","33523"
"Dec 19, 2023","147665","35277","85954","83462","37154","27164","22795","59754","2270","33261","97324","23132","21793"
"Dec 12, 2023","208927","30967","83307","140172","85304","22411","24939","99472","24243","30990","105036","18674","19369"
"Dec 05, 2023","195569","32886","90567","124388","69489","26639","23857","99931","23473","31206","102511","22317","31657"
"Nov 28, 2023","197053","29203","100422","131213","57424","24361","26931","104262","12571","27973","108657","23530","34309"
"Nov 21, 2023","196598","29565","107535","131742","49738","24923","28957","105921","4041","26780","115136","24186","36039"
"Nov 14, 2023","197469","32728","103684","132639","53582","21818","29919","106642","10297","28302","111379","26760","33023"
"Nov 07, 2023","192496","34049","99612","126869","53602","21769","29473","104126","15994","33856","101713","19158","32849"
"Oct 31, 2023","196866","32805","107915","135553","49121","22592","33914","109755","8207","30051","105496","25334","42296"
"Oct 24, 2023","194666","28018","111099","142753","43900","18606","34378","115530","4367","30591","109575","21531","40109"
"Oct 17, 2023","196044","31565","112304","141329","44197","18074","34467","113980","3668","32714","113430","23119","38230"
"Oct 10, 2023","190133","31827","108404","134148","43039","19420","33952","109389","5076","33823","107140","19453","38224"
"Oct 03, 2023","207782","39465","121452","142572","45306","20690","35969","110880","2056","35531","117596","32625","46506"
"Sep 26, 2023","211882","36104","122919","151041","48791","20512","35947","123390","3465","32821","129509","28268","37340"
"Sep 19, 2023","221229","36780","133726","158199","48187","19463","32529","129555","1600","32287","137146","29212","40468"
"Sep 12, 2023","256219","47309","126842","164961","69971","22273","37730","112017","3519","37663","135223","35599","32256"
"Sep 05, 2023","241201","54032","137569","146176","50810","24035","35864","109013","3835","38379","134857","44158","42581"
"Aug 29, 2023","223489","61376","131561","130388","49782","23103","33524","97022","5080","37568","132587","52282","40209"
"Aug 22, 2023","226955","72034","135820","125129","48235","20900","34008","89851","4054","41859","134550","60632","41633"
"Aug 15, 2023","204458","68623","122020","109110","43852","20392","32253","79920","3812","38663","123705","55082","35765"
"Aug 08, 2023","182842","61091","104283","96999","41154","18900","31553","67174","3675","39857","111844","46725","27387"
"Aug 01, 2023","161298","46612","98404","90885","33615","21005","26483","56335","4057","47026","96482","28781","27928"
"Jul 25, 2023","146423","39108","90309","80237","30676","23735","22095","49030","4415","46625","87407","18423","25781"
"Jul 18, 2023","148592","38252","88653","84937","33892","21539","22183","57212","4242","43670","89598","17893","26096"
"Jul 11, 2023","152495","43661","88745","87458","33423","16392","25343","63262","2894","37787","94999","25482","21566"
"Jul 03, 2023","153744","50170","94752","82076","30702","18331","25123","52271","2072","37166","92471","36982","27088"
"Jun 27, 2023","136335","45225","84649","67857","29035","21829","21227","37481","4784","43837","79532","26357","25965"
"Jun 20, 2023","149898","45743","95359","79300","28314","21444","22814","44479","3146","49958","80769","27107","38138"
"Jun 13, 2023","182562","38758","100503","109260","35353","20338","32500","69912","1600","44760","89998","25795","38463"
"Jun 06, 2023","209680","54501","110969","119775","52279","19365","30393","79736","1707","40132","118606","44312","34571"
"May 30, 2023","204963","68969","113095","109462","50362","19509","34483","76326","1946","42112","118068","53661","39176"
"May 23, 2023","180138","53419","102500","102079","42036","19057","30019","67786","2518","43680","105190","38433","33319"
"May 16, 2023","167020","43903","97497","98069","36167","19676","27984","58787","2223","47513","95785","30052","32166"
"May 09, 2023","165532","41225","90418","98698","41801","19371","27075","59154","1600","46687","93741","29226","35313"
"May 02, 2023","181229","52340","97350","102454","45902","19421","30963","62540","2872","45923","105259","40816","32065"
