Commitments of Traders Historical Report for "EUR"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Apr 30, 2024","652297","167185","173962","399163","409900","73035","55521","46663","278305","390015","168221","68274","91458"
"Apr 23, 2024","665771","167296","177285","413769","419034","72410","57156","60276","283871","392006","166658","63518","98985"
"Apr 16, 2024","658865","178912","166688","395979","424633","73794","57364","41566","290227","397902","149568","70146","104691"
"Apr 09, 2024","643496","175419","142696","383114","435146","75049","55740","24741","306427","405602","136301","65356","86911"
"Apr 02, 2024","682768","188258","171464","412480","445912","73567","56929","37237","307554","403614","156339","94297","103690"
"Mar 26, 2024","657300","180193","148999","389331","443503","76447","53469","19132","325661","401800","127240","81778","90904"
"Mar 19, 2024","656182","182382","134040","388839","462969","75816","50028","19660","346313","401634","114402","85730","89372"
"Mar 12, 2024","717720","193998","119591","402081","506685","84306","54109","20240","384003","418644","107299","80929","77212"
"Mar 05, 2024","707108","200025","133714","404771","501537","81532","51077","22907","385252","423822","124185","88588","79149"
"Feb 27, 2024","715545","205234","142380","411117","501018","80334","53287","20353","384434","442988","134256","85862","79487"
"Feb 20, 2024","722299","213194","145178","416183","505634","77957","56522","31638","387684","444982","142138","87583","77256"
"Feb 13, 2024","740105","210848","158010","437266","509530","76997","57571","30023","392521","464667","136045","88270","94055"
"Feb 06, 2024","731991","202450","140297","434993","521879","77651","52918","25767","401825","466851","131883","80024","85356"
"Jan 30, 2024","727210","200360","111589","432311","548317","78589","51354","22769","438343","470145","112148","79542","68993"
"Jan 23, 2024","725423","195190","106866","434578","551975","80371","51298","20470","448644","476138","98368","75337","71769"
"Jan 16, 2024","733091","204294","100202","433577","570090","81115","48694","20988","465014","479464","97950","80292","68347"
"Jan 09, 2024","714079","208473","89596","409738","566625","82429","44419","21104","459402","460848","95296","80190","64329"
"Jan 02, 2024","718885","211912","92436","411907","569293","83455","45545","18714","456316","460498","92299","86037","73326"
"Dec 26, 2023","705627","211195","93804","400897","552083","82271","48476","18207","433849","460850","95150","71580","75813"
"Dec 19, 2023","700244","208078","93486","399732","545354","81352","50322","18849","427451","459191","95873","67756","75221"
"Dec 12, 2023","792149","231837","84510","433209","615566","100250","65220","21100","459903","462262","99438","83174","66533"
"Dec 05, 2023","756615","235684","83324","404550","593479","85929","49360","19995","479853","478523","92860","76280","64172"
"Nov 28, 2023","727138","233454","90289","388784","565099","82613","49463","19358","459111","465952","93795","73233","63049"
"Nov 21, 2023","712364","231095","101441","380815","546633","83490","47326","19317","442358","453409","99427","73652","65589"
"Nov 14, 2023","702463","221190","112283","381765","522752","83714","51634","19768","411285","441077","113079","77152","70027"
"Nov 07, 2023","697624","212483","123427","390336","507851","82294","53835","19829","400621","443192","118769","77240","71870"
