Commitments of Traders Historical Report for "CHF"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Apr 30, 2024","98926","11040","52826","78446","20163","9120","25617","55883","575","16545","48967","15074","22493"
"Apr 23, 2024","96029","9681","52243","75581","19264","10614","24369","53484","534","15937","48399","14060","22145"
"Apr 16, 2024","93411","14650","50862","69412","16456","9349","26093","48972","0","15052","45514","18362","20733"
"Apr 09, 2024","90833","16626","48390","64665","16582","9535","25854","43335","0","17703","43577","18603","20531"
"Apr 02, 2024","87108","21220","43590","56144","17461","9682","25995","35815","0","18481","41150","20884","19168"
"Mar 26, 2024","80460","16323","38291","54629","17175","9478","24964","33999","0","18829","37404","16023","17383"
"Mar 19, 2024","71545","13003","33503","48825","15433","9665","22557","27940","0","19159","32456","13315","15658"
"Mar 12, 2024","82442","11236","29106","56885","28182","9575","20408","28784","7093","19627","27058","9749","14466"
"Mar 05, 2024","76166","16935","34486","49507","20330","9280","20906","28128","7013","19388","30865","16401","16368"
"Feb 27, 2024","65207","15857","27838","40716","17007","8251","19979","22173","5400","17539","26774","14611","12312"
"Feb 20, 2024","60030","13036","22959","37455","17979","9413","18966","19435","6074","17216","23097","11627","11405"
"Feb 13, 2024","55069","12689","18703","32148","17068","10071","19137","15629","5736","16099","21462","11084","8203"
"Feb 06, 2024","49919","10591","16158","27071","17805","12219","15918","13360","6216","14157","18773","8264","8331"
"Jan 30, 2024","47783","10137","14041","25245","18023","12368","15686","10534","6583","13278","17900","9725","6974"
"Jan 23, 2024","48398","10049","15220","24238","18039","14073","15101","8895","7068","14138","16755","9303","8879"
"Jan 16, 2024","50480","10627","14365","22450","22177","17114","13649","7482","9851","15641","16792","7763","7742"
"Jan 09, 2024","50169","11044","15436","23140","20616","15792","13924","8111","8837","16673","16884","7457","8261"
"Jan 02, 2024","51236","10734","15949","24329","20171","15948","14891","9482","8707","15626","17909","8335","7435"
"Dec 26, 2023","47222","8422","11867","24486","18961","14095","16175","11196","8049","12580","16026","7512","6198"
"Dec 19, 2023","45281","6723","12811","24946","15870","13370","16358","11552","5445","12339","16025","6410","6765"
"Dec 12, 2023","65186","3970","18444","42489","23176","12788","17627","23061","9040","11799","19056","6786","10182"
"Dec 05, 2023","60356","3732","21584","42164","18451","12655","18516","26159","7489","9514","20572","7331","10553"
"Nov 28, 2023","60479","4300","24589","44145","17454","11754","18156","27324","7610","10186","20453","8095","12611"
"Nov 21, 2023","58815","4727","23721","43931","15344","10113","19706","28504","5683","8826","21603","8409","10331"
"Nov 14, 2023","59464","5515","25666","42240","14697","11612","19004","29466","3136","6749","24576","9191","11735"
"Nov 07, 2023","56756","8054","25616","39228","11336","9391","19721","28990","1134","3243","24884","12632","10030"
"Oct 31, 2023","56353","8888","23798","38201","12234","9178","20235","28734","1031","2523","23121","13343","10904"
"Oct 24, 2023","59266","9807","24902","39724","12588","9692","21733","29292","891","2975","24382","14344","10810"
"Oct 17, 2023","61346","10327","27405","42247","11914","8724","21979","29349","714","5624","24984","14898","12431"
"Oct 10, 2023","61742","11633","27708","41526","12696","8551","21306","29527","791","6055","26402","15127","12392"
"Oct 03, 2023","58673","11143","27885","38468","11100","9030","19656","27737","608","5832","26469","14417","11634"
"Sep 26, 2023","53900","12377","21492","31968","11054","9542","21341","23094","678","5657","23383","14053","8295"
"Sep 19, 2023","46638","12196","20131","25167","9323","9258","17167","17897","0","6129","21899","11739","7548"
"Sep 12, 2023","49945","9009","18347","26017","13666","13771","16784","16826","3999","4780","20213","9926","6017"
"Sep 05, 2023","46670","11494","16819","22508","11821","12168","17530","16203","4060","5493","17733","10435","6686"
"Aug 29, 2023","43242","8253","12771","20545","14157","14426","16296","14643","4980","5285","16063","7000","5725"
"Aug 22, 2023","44326","10200","14066","19640","14032","14104","15846","14862","4925","4718","16159","8262","6726"
"Aug 15, 2023","42794","8693","12700","18812","14612","15262","15455","13676","5058","5212","15792","6783","6137"
"Aug 08, 2023","43122","8509","13961","18991","14899","15265","13905","13352","4681","5974","16610","6478","5782"
"Aug 01, 2023","43983","7299","16046","18058","13850","17767","13228","11066","4023","8216","17207","4400","6957"
