Commitments of Traders Historical Report for "JPY"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Apr 30, 2024","334848","40435","208823","244920","68798","41917","49651","169663","5698","60164","127017","28570","134379"
"Apr 23, 2024","336167","42426","222345","239847","60703","47381","46606","164956","2246","58140","134358","34337","140426"
"Apr 16, 2024","331110","49463","215082","230642","62900","45373","47496","155961","1786","58169","128052","39056","141436"
"Apr 09, 2024","324479","47275","209426","219256","62314","50941","45732","139218","1148","59111","128669","40770","133670"
"Apr 02, 2024","316809","55190","198420","205195","65701","50476","46740","121299","1075","58943","124346","53581","130790"
"Mar 26, 2024","305701","59969","189075","194045","64457","45649","46131","113613","757","62139","121668","50032","122909"
"Mar 19, 2024","302500","66274","182286","182299","67180","46762","45869","109502","1639","61853","123760","45130","118136"
"Mar 12, 2024","325675","54923","157245","207478","109601","47586","43141","112151","32909","65353","102517","30134","102093"
"Mar 05, 2024","314586","54671","173514","200129","86604","47380","42062","122721","27450","65860","115086","30933","104941"
"Feb 27, 2024","309633","51261","183966","204425","72443","43296","42573","135967","18033","64380","119344","30322","109695"
"Feb 20, 2024","305438","53862","174640","199061","73207","41618","46694","131315","16133","60681","125848","37801","97272"
"Feb 13, 2024","304592","58554","170090","194067","78895","43189","46825","120278","17048","68114","122609","42980","101349"
"Feb 06, 2024","259542","55646","139876","155571","72588","41400","40153","81131","15072","67566","109012","40268","80658"
"Jan 30, 2024","242029","44918","125373","148972","68838","41873","41552","71599","11661","66084","100792","35268","74782"
"Jan 23, 2024","243032","52585","123230","144222","67230","39919","46266","66066","12286","65726","94400","46599","75099"
"Jan 16, 2024","213309","44180","100740","125048","63324","38443","43607","47226","11672","66178","73638","35551","71734"
"Jan 09, 2024","200299","41364","97313","113876","59685","40937","39179","38794","10109","65746","59957","32930","78059"
"Jan 02, 2024","184042","33585","90780","108605","53116","37986","36280","31560","7092","64625","42073","28836","87631"
"Dec 26, 2023","188540","37321","92889","110013","57354","38477","35568","34305","6257","63596","47198","32553","90741"
"Dec 19, 2023","185940","31734","96636","112422","49729","38893","36684","35737","2941","63273","50950","28932","86840"
"Dec 12, 2023","257581","28226","109357","172756","93229","38804","37200","83812","29779","62909","67019","29395","90842"
"Dec 05, 2023","267482","28266","133222","184156","77938","41899","43161","90237","14130","64639","84204","39913","104377"
"Nov 28, 2023","260781","30461","139698","180134","76442","44382","38837","89522","17307","66352","90498","35448","100758"
"Nov 21, 2023","264903","39236","144690","178832","73404","40572","40546","91441","18455","69250","91233","38753","101658"
"Nov 14, 2023","273763","27772","158021","199890","66618","42074","45097","109940","7807","71014","112838","28422","92851"
"Nov 07, 2023","259698","27238","131278","189951","77994","38560","46477","94975","20104","70113","94194","34887","82154"
